               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072512,            0.045612,              0.0187,             0.66678,             0.61653,             0.63888,             0.24241,            0.049176,            0.028622,           0.0076044,            0.070063,           0.0033264,           0.0033264
                   1,            0.053927,            0.039539,           0.0083582,              0.8192,             0.67457,             0.76687,              0.3626,            0.043128,            0.028881,           0.0072002,             0.03998,           0.0065773,           0.0065773
                   2,             0.04876,            0.038253,           0.0070956,             0.84486,             0.73766,              0.8092,             0.42192,            0.039047,            0.027464,           0.0043923,           0.0098153,           0.0097457,           0.0097457
                   3,             0.04486,            0.037467,           0.0058995,             0.86819,             0.72933,              0.8133,             0.42402,            0.038252,            0.027657,           0.0039426,           0.0096288,           0.0096288,           0.0096288
                   4,            0.041887,            0.037156,           0.0055684,             0.84497,             0.75642,             0.82533,             0.44648,             0.03718,            0.026694,           0.0041127,           0.0096288,           0.0096288,           0.0096288
                   5,            0.040312,            0.036311,           0.0048712,             0.86488,             0.74591,             0.82641,             0.44043,            0.037234,            0.027488,           0.0031384,            0.009505,            0.009505,            0.009505
                   6,            0.039259,            0.035216,           0.0044169,             0.84789,             0.76069,             0.82782,             0.44557,            0.037262,             0.02725,           0.0027356,           0.0093813,           0.0093813,           0.0093813
                   7,            0.038294,            0.034928,           0.0045463,             0.88756,             0.78857,             0.86191,             0.46333,            0.035863,            0.025496,            0.002553,           0.0092575,           0.0092575,           0.0092575
                   8,             0.03736,             0.03421,           0.0041047,             0.87591,             0.79225,             0.86441,             0.48269,            0.034854,             0.02584,           0.0027981,           0.0091337,           0.0091337,           0.0091337
                   9,            0.036744,            0.033906,           0.0038582,             0.88727,             0.79627,             0.86868,             0.49232,            0.034325,            0.025294,            0.002253,             0.00901,             0.00901,             0.00901
                  10,            0.036388,            0.033492,           0.0037367,             0.88919,             0.79608,             0.86614,             0.49556,             0.03445,            0.025252,           0.0022937,           0.0088863,           0.0088863,           0.0088863
                  11,            0.035753,            0.033051,           0.0035759,             0.87117,             0.81677,              0.8746,             0.48501,            0.035163,            0.025476,           0.0020103,           0.0087625,           0.0087625,           0.0087625
                  12,            0.035613,            0.032681,           0.0035694,             0.89869,             0.78565,               0.874,             0.48289,            0.034903,            0.025598,           0.0027149,           0.0086388,           0.0086388,           0.0086388
                  13,            0.035273,            0.032142,           0.0034045,             0.88922,             0.81687,             0.87667,             0.49158,            0.034342,            0.025473,           0.0023535,            0.008515,            0.008515,            0.008515
                  14,            0.035226,            0.032434,           0.0035197,             0.87726,             0.82803,             0.88238,             0.50295,            0.033684,            0.024783,           0.0020182,           0.0083913,           0.0083913,           0.0083913
                  15,            0.034859,            0.032339,           0.0032999,             0.89979,             0.81652,             0.88826,             0.49826,            0.034481,            0.025335,           0.0019076,           0.0082675,           0.0082675,           0.0082675
                  16,            0.034679,            0.032252,           0.0032293,             0.88016,             0.82297,             0.88525,             0.51634,            0.033309,            0.024568,           0.0022243,           0.0081437,           0.0081437,           0.0081437
                  17,            0.034103,            0.031441,           0.0031828,             0.88171,             0.82754,             0.88114,              0.5087,            0.033759,            0.024791,           0.0019537,             0.00802,             0.00802,             0.00802
